Ticker
ACWIU   SW Equity
QABA    US Equity
KRE     US Equity
FLTR    US Equity
KBWR    US Equity
IAT     US Equity
PGF     US Equity
IAI     US Equity
R1JKEX  GR Equity
KBWB    US Equity
ICOV    LN Equity
KBE     US Equity
AFRN    FP Equity
AFIN    FP Equity
XBCT    GR Equity
ETFIBOXG GR Equity
FLOT    FP Equity
EUCF    LN Equity
XLIQ    GR Equity
KCE     US Equity
FTXO    US Equity
XTC5    GR Equity
CBSX7R  GR Equity
BNK     FP Equity
CB5     FP Equity
SX7PEX  GR Equity
XS7R    GR Equity
X7PS    GR Equity
BNKE    FP Equity
SX7EEX  GR Equity
S7XE    GR Equity
BNKS    LN Equity
COCB    LN Equity
UFLT    LN Equity
AT1     LN Equity
BNKU    LN Equity
