"Ticker
","Name
","Fund Type
","Industry Focus (Holdings Based)
","Geographic Focus (Holdings Based)
"
BUTBERI BH Equity,BUTTERFIELD BERMUDA FUND-A,Open-End Fund,Financial,Bermuda
HSSIX US Equity,EMERALD BANKING & FINANCE-IS,Open-End Fund,Banks,United States
KVMHYAU LX Equity,KMG-VALAIS MGD HI YIELD-AUSD,SICAV,Financial,Western Europe
RMBKX US Equity,RMB MENDON FINANCIAL SERV-A,Open-End Fund,Banks,United States
FSVLX US Equity,FIDELITY CONSUMER FINANCE PT,Open-End Fund,Financial,United States
CCPGD3U CI Equity,Credicorp Capital-PG Dir III,Open-End Fund,Banks,N.A.
PRISX US Equity,T ROWE PR FINANCIAL SERV,Open-End Fund,Financial,United States
PUFBX US Equity,PGIM JENN FIN SERV-B,Open-End Fund,Financial,United States
FRBAX US Equity,JH REGION BANK-A,Open-End Fund,Banks,United States
SFSLX US Equity,1919 FINANCIAL SERVICES-C,Open-End Fund,Financial,United States
JEFSX US Equity,JHVIT JOHN HAN FINCL SER-I,Open-End Fund,Financial,United States
FFSIOIU LX Equity,TWELVE-FAL-IN LK OPP FD-IUSD,SICAV,Diversified Finan Serv,Bermuda
FNPIX US Equity,PROFUNDS FINL ULTRAS-INVESTR,Open-End Fund,Financial,United States
FIDAX US Equity,JH FINANCIAL INDUSTRIES-A,Open-End Fund,Financial,United States
JARIX US Equity,JAMES ALPHA GL REAL EST-I,Open-End Fund,Financial,N.A.
HHGPEA1 LX Equity,JAN HND HRZN GLB PR EQ-A3USD,SICAV,Financial,N.A.
SHRIX US Equity,STONE RIDGE H/Y REIN RSK-I,Open-End Fund,Diversified Finan Serv,North America
RYFSX US Equity,ROYCE GL FINANCIAL SERV-SV,Open-End Fund,Financial,North America
PCFIRUD ID Equity,POLAR CAP-INSURANCE-RUSDD,Open-End Fund,Insurance,N.A.
RPFGX US Equity,DAVIS FINANCIAL FUND-A,Open-End Fund,Financial,United States
JERAX US Equity,JANUS HNDRSN GLBL RL EST-A,Open-End Fund,Financial,N.A.
ICFSX US Equity,ICON FINANCIAL FUND-S,Open-End Fund,Financial,United States
JANREA1 ID Equity,JAN HND GLB REAL E-A USD IN,Open-End Fund,Financial,N.A.
FALILAU LX Equity,12 FALCON INSURANCE LINK DOL,SICAV,Diversified Finan Serv,North America
AREAX US Equity,AB GLOBAL REAL ESTATE-A,Open-End Fund,Financial,N.A.
FSRBX US Equity,FIDELITY SELECT BANKING PRTF,Open-End Fund,Banks,United States
LCATUIA LX Equity,LO FUNDS-CAT BONDS-USDNA,SICAV,Diversified Finan Serv,North America
FWRAX US Equity,FIDELITY ADV GLBL RL EST-A,Open-End Fund,Financial,N.A.
PXRAX US Equity,VIRTUS D&P INTL RL EST-A,Open-End Fund,Financial,N.A.
VFAIX US Equity,VANGUARD FINANCIALS IDX-ADM,Open-End Fund,Financial,United States
HISFX US Equity,HENNESSY S/C FINANCIAL-INS,Open-End Fund,Financial,United States
CLCATUB LX Equity,LGT-CAT BD-USD B,SICAV,Financial,North America
GPFIXU3 LX Equity,GLOBAL PT CSOB FIX CLK USD 3,SICAV,Financial,Ireland
JANSRUA ID Equity,JANUS SELECTION GLBL RL-AUSD,Open-End Fund,Financial,N.A.
PLECBFU LE Equity,PLENUM CAT BOND FUND-USD,Open-End Fund,Financial,North America
REIFX US Equity,REMS INTL RL EST VAL-INST,Open-End Fund,Financial,N.A.
RYFIX US Equity,RYDEX SERIES FINAN SERV-INV,Open-End Fund,Financial,United States
BBFCBBU LX Equity,BLUEBAY FINANCIAL CP BD-BUSD,SICAV,Banks,Western Europe
NBREUIA ID Equity,NEU BERG GL RE SEC-USD IA,Open-End Fund,Financial,N.A.
DBFUSMP LX Equity,DEUTSCHE INSTITUTIONAL USD M,SICAV,Banks,N.A.
UBPMMUS LX Equity,UBP MONEY MARKET FUND-AC,SICAV,Banks,N.A.
KBCEAOU BB Equity,KBC PART-EXCLU ASN OP USD 2,Open-End Fund,Banks,Ireland
LYSCUCA CN Equity,LYSANDER-CANSO US CREDIT-ANL,Open-End Fund,Banks,United States
ASRAX US Equity,INVESCO GLBL RL EST INC-A,Open-End Fund,Financial,N.A.
KBCEAO3 BB Equity,KBC PART-EXCLU ASN OP USD 3,Open-End Fund,Banks,Ireland
IRFAX US Equity,COHEN & STEERS INTERN RLTY-A,Open-End Fund,Financial,N.A.
ANFLX US Equity,ANGEL OAK FLEXIBLE INC-A,Open-End Fund,Financial,United States
MERFSPA LX Equity,BGF-WRLD FINANCIAL-A2 USD,SICAV,Financial,N.A.
LPXAX US Equity,COHEN & STEERS LOW DURAT-A,Open-End Fund,Financial,N.A.
NOGREEU LX Equity,NORDEA 1-GLOBAL REAL ES-EUSD,SICAV,Financial,N.A.
CSGLREI LX Equity,COHEN & STEERS-GLOBAL R/E-I,SICAV,Financial,N.A.
AGREX US Equity,INVESCO GLBL RL EST-A,Open-End Fund,Financial,N.A.
FIREX US Equity,FIDELITY INTL REAL ESTATE,Open-End Fund,Financial,N.A.
PFANX US Equity,PIMCO PREFER & CAPITAL-A,Open-End Fund,Financial,N.A.
BANCX US Equity,DIAMOND HILL FINANCIAL L/S-A,Open-End Fund,Financial,United States
INGREAI LX Equity,INVESCO GL INC REAL EST-A IN,SICAV,Financial,N.A.
FIDSX US Equity,FIDELITY SELECT FINANCIAL SV,Open-End Fund,Financial,United States
